rank,name,symbol,price
1,Bitcoin,BTC,80643
2,Ethereum,ETH,2259.56
3,Tether,USDT,0.999704
4,BNB,BNB,687.98
5,XRP,XRP,1.47
6,USDC,USDC,0.999702
7,Solana,SOL,91.42
8,TRON,TRX,0.351923
9,Figure Heloc,FIGR_HELOC,1.033
10,Dogecoin,DOGE,0.114944
11,WhiteBIT Coin,WBT,59.12
12,USDS,USDS,0.999737
13,Hyperliquid,HYPE,45.1
14,Cardano,ADA,0.267746
15,LEO Token,LEO,10.21
16,Zcash,ZEC,535.05
17,Bitcoin Cash,BCH,431.6
18,Chainlink,LINK,10.33
19,Monero,XMR,391.82
20,Canton,CC,0.1617
21,Toncoin,TON,2.08
22,Stellar,XLM,0.159421
23,Sui,SUI,1.13
24,Litecoin,LTC,58.16
25,USD1,USD1,0.999967
26,Dai,DAI,0.999819
27,Avalanche,AVAX,9.79
28,Ethena USDe,USDE,1.0
29,MemeCore,M,3.24
30,Hedera,HBAR,0.093396
31,Shiba Inu,SHIB,6.28e-06
32,Rain,RAIN,0.00744158
33,PayPal USD,PYUSD,0.9999
34,Global Dollar,USDG,0.999597
35,Cronos,CRO,0.075122
36,Circle USYC,USYC,1.12
37,Bittensor,TAO,300.78
38,Tether Gold,XAUT,4566.56
39,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0
40,Uniswap,UNI,3.68
41,Polkadot,DOT,1.34
42,Mantle,MNT,0.677994
43,PAX Gold,PAXG,4566.86
44,World Liberty Financial,WLFI,0.067559
45,NEAR Protocol,NEAR,1.55
46,Ondo US Dollar Yield,USDY,1.13
47,Ondo,ONDO,0.3823
48,OKB,OKB,86.04
49,Pi Network,PI,0.169728
50,Falcon USD,USDF,0.998546
51,HTX DAO,HTX,1.96e-06
52,Aster,ASTER,0.674387
53,Sky,SKY,0.073222
54,Pepe,PEPE,4.03e-06
55,Ripple USD,RLUSD,0.999788
56,Internet Computer,ICP,2.68
57,USDD,USDD,0.999727
58,Ethereum Classic,ETC,9.34
59,Aave,AAVE,96.17
60,Bitget Token,BGB,2.07
61,BFUSD,BFUSD,0.999101
62,Morpho,MORPHO,1.93
63,Quant,QNT,78.31
64,KuCoin,KCS,8.33
65,Janus Henderson Anemoy Treasury Fund,JTRSY,1.1
66,Ethena,ENA,0.118754
67,Algorand,ALGO,0.116812
68,United Stables,U,1.0
69,Cosmos Hub,ATOM,2.0
70,POL (ex-MATIC),POL,0.093981
71,Kaspa,KAS,0.03641525
72,Superstate Short Duration U.S. Government Securities Fund (USTB),USTB,11.08
73,Spiko EU T-Bills Money Market Fund,EUTBL,1.22
74,Render,RENDER,1.89
75,Blockchain Capital,BCAP,105.87
76,NEXO,NEXO,0.913284
77,Worldcoin,WLD,0.253019
78,​​Stable,STABLE,0.03761018
79,Aptos,APT,1.02
80,Flare,FLR,0.00965525
81,USDtb,USDTB,0.999204
82,Filecoin,FIL,1.034
83,Arbitrum,ARB,0.128751
84,Gate,GT,7.34
85,JUST,JST,0.090724
86,Jupiter,JUP,0.217296
87,XDC Network,XDC,0.03580369
88,Pump.fun,PUMP,0.00186501
89,Venice Token,VVV,14.35
90,VeChain,VET,0.00723189
91,Beldex,BDX,0.079116
92,DeXe,DEXE,13.09
93,Provenance Blockchain,HASH,0.01142384
94,Bonk,BONK,6.79e-06
95,OUSG,OUSG,115.24
96,GHO,GHO,0.999279
97,Unibase,UB,0.232294
98,Dash,DASH,45.2
99,Pudgy Penguins,PENGU,0.00904091
100,Usual USD,USD0,0.998211
